# Program:featureCounts v1.6.0; Command:"/home/classadmin/mat/software/subread-1.6.0-Linux-x86_64/bin/featureCounts" "-a" "/home/classadmin/mat/referenceGenomes/S_cerevisiae//Saccharomyces_cerevisiae.R64-1-1.81.gtf" "-o" "featCounts_genes.txt" "/home/classadmin/mat/precomputed/results_alignment/SNF2_1_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/SNF2_2_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/SNF2_3_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/SNF2_4_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/SNF2_5_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/WT_1_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/WT_2_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/WT_3_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/WT_4_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/WT_5_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/classadmin/mat/precomputed/results_alignment/SNF2_1_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/SNF2_2_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/SNF2_3_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/SNF2_4_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/SNF2_5_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/WT_1_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/WT_2_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/WT_3_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/WT_4_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/WT_5_Aligned.sortedByCoord.out.bam
YDL224C	IV	54397	56346	-	1950	1293	965	958	1293	803	538	818	667	860	736
YDL223C	IV	57265	60405	-	3141	771	559	532	789	401	313	337	322	512	306
YDL222C	IV	60872	61801	-	930	139	143	84	135	75	55	55	42	85	27
YDL221W	IV	62011	62562	+	552	74	98	83	101	58	43	48	35	73	26
YDL220C	IV	62244	65018	-	2775	313	292	245	318	162	171	182	141	225	148
YDL219W	IV;IV	65242;65378	65306;65765	+;+	453	256	190	225	304	191	75	211	165	226	184
YDL218W	IV	66493	67446	+	954	97	65	82	71	64	63	41	49	75	54
YDL217C	IV	67983	68606	-	624	592	479	450	630	405	260	410	344	480	348
YDL216C	IV	68997	70319	-	1323	454	396	346	459	279	191	281	210	334	271
YDL215C	IV	70640	73918	-	3279	1969	1263	1205	1901	908	762	1097	1135	1525	846
YDL214C	IV	74446	76545	-	2100	270	246	219	302	179	41	62	59	72	49
YDL213C	IV	77289	77966	-	678	1452	1166	1252	1760	883	534	1214	837	1161	1384
YDL212W	IV	78426	79058	+	633	2507	1913	2066	2643	1594	1049	1702	1373	2047	1697
YDL211C	IV	79294	80412	-	1119	323	195	188	328	222	101	171	125	191	159
tG(GCC)D1	IV	83548	83618	+	71	1	0	0	0	0	0	0	0	0	0
YDL210W	IV	84270	85985	+	1716	164	94	96	121	72	40	73	61	85	61
YDL209C	IV	86207	87226	-	1020	341	248	279	351	234	104	215	154	196	264
YDL208W	IV	87512	87982	+	471	1910	1537	1675	2207	1280	1255	2461	1582	2277	2880
YDL207W	IV	88248	89864	+	1617	1290	962	922	1321	806	418	814	613	865	742
YDL206W	IV	90176	92464	+	2289	675	427	374	686	370	149	381	330	459	283
YDL205C	IV	92762	93745	-	984	784	654	830	987	447	497	710	560	814	747
YDL204W	IV	94605	95786	+	1182	489	333	311	491	279	413	378	472	803	293
YDL203C	IV	96082	97953	-	1872	496	466	401	566	315	228	416	289	425	369
YDL202W	IV	98475	99224	+	750	540	383	373	517	348	255	422	318	495	414
YDL201W	IV	99561	100421	+	861	444	352	407	427	259	254	635	423	541	635
YDL200C	IV	100501	101067	-	567	287	199	196	323	164	83	159	146	179	138
YDL199C	IV	101290	103353	-	2064	455	333	348	515	300	131	197	181	284	147
YDL198C	IV	103649	104551	-	903	1207	1071	924	1128	824	866	748	885	1425	635
YDL197C	IV	104917	106494	-	1578	1099	812	764	1023	631	335	461	389	560	463
YDL196W	IV	106741	107070	+	330	29	14	15	23	19	8	16	7	26	13
YDL195W	IV	107208	111029	+	3822	4416	3781	3623	5251	2855	2377	2712	2039	3435	2480
YDL194W	IV	111580	114234	+	2655	865	638	610	900	522	384	527	420	592	457
YDL193W	IV	114672	115799	+	1128	795	582	666	763	470	278	595	482	661	458
YDL192W	IV	116321	116866	+	546	7040	6042	5764	7670	4973	3363	5228	4368	6461	5693
YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	3543	3646	2541	4180	2614	2106	3302	2342	3771	3522
YDL190C	IV	118707	121592	-	2886	1335	1146	1204	1512	878	685	1072	886	1263	963
YDL189W	IV	122216	123589	+	1374	1449	1158	1037	1569	999	640	1036	794	1153	1071
YDL188C	IV	123865	124998	-	1134	1148	897	961	1161	714	565	748	587	869	732
YDL187C	IV	125509	125838	-	330	2	0	1	3	0	0	3	3	2	3
YDL186W	IV	125616	126449	+	834	181	150	144	147	119	82	127	116	151	132
YDL185C-A	IV	126608	126835	-	228	10	11	15	18	5	9	25	12	17	31
YDL185W	IV	126787	130002	+	3216	8579	7699	8001	9243	5639	4890	6337	5237	8019	6250
YDL184C	IV	130407	130484	-	78	6294	4822	5375	6765	4404	2298	4929	3949	5773	5286
YDL183C	IV	130871	131833	-	963	235	144	148	273	125	59	114	100	122	99
YDL182W	IV	133437	134723	+	1287	1231	1076	1108	1136	948	1784	2164	1488	2714	2262
YDL181W	IV	135179	135436	+	258	487	357	373	536	392	229	153	265	375	128
YDL180W	IV	135896	137539	+	1644	953	713	691	924	580	385	490	419	658	535
YDL179W	IV	138291	139205	+	915	296	185	165	243	127	92	252	209	205	185
YDL178W	IV	139522	141114	+	1593	1089	895	940	1107	747	523	703	565	1005	713
YDL177C	IV	141209	141721	-	513	401	285	257	362	275	130	230	146	271	233
YDL176W	IV	142097	144223	+	2127	545	392	396	492	277	201	360	212	310	324
YDL175C	IV	144484	145518	-	1035	532	400	360	499	309	191	348	263	358	386
YDL174C	IV	145826	147589	-	1764	3121	2371	2489	2971	1949	1291	1329	1291	2084	1228
YDL173W	IV	148191	149078	+	888	1168	930	843	1064	812	435	455	429	709	518
YDL172C	IV	148607	149086	-	480	1	0	0	1	0	0	0	0	0	0
YDL171C	IV	149203	155640	-	6438	3544	2476	2434	3343	1823	2089	2859	1879	3253	3019
YDL170W	IV	156318	157904	+	1587	572	385	392	501	346	311	269	339	539	312
YDL169C	IV	158064	158735	-	672	553	426	378	602	376	132	126	182	241	108
YDL168W	IV	159604	160764	+	1161	1053	812	902	1099	610	652	850	614	981	755
YDL167C	IV	160995	163154	-	2160	238	232	223	247	180	221	612	222	391	692
YDL166C	IV	163449	164042	-	594	823	668	609	833	598	363	629	411	680	793
YDL165W	IV	164290	164865	+	576	481	494	451	600	370	230	364	271	494	331
YDL164C	IV	164987	167254	-	2268	580	536	611	732	422	282	399	302	497	390
YDL163W	IV	166956	167258	+	303	0	0	0	0	0	0	0	0	0	0
YDL162C	IV	167359	167715	-	357	3	0	1	3	1	4	2	3	0	3
YDL161W	IV	167714	169078	+	1365	2275	1903	1604	2204	1428	1100	1106	952	1817	1234
YDL160C-A	IV	169366	169608	-	243	236	232	202	250	195	125	183	163	272	176
YDL160C	IV	170410	171930	-	1521	875	947	866	1126	576	721	628	591	1009	653
YDL159W-A	IV	172182	172313	+	132	1	0	2	0	0	0	4	0	3	6
YDL159W	IV	172481	174028	+	1548	416	336	287	425	263	163	250	196	288	226
YDL159C-B	IV	173056	173232	-	177	0	0	0	0	0	0	0	0	0	0
YDL158C	IV	173866	174174	-	309	129	28	72	89	55	25	76	60	79	59
YDL157C	IV	174232	174588	-	357	876	563	673	954	527	244	416	410	511	413
YDL156W	IV	174918	176486	+	1569	200	191	203	197	109	111	97	94	142	121
YDL155W	IV	176773	178056	+	1284	1138	827	913	1089	701	393	605	495	700	616
YDL154W	IV	178334	181039	+	2706	80	55	54	73	47	67	138	128	167	135
YDL153C	IV	181186	183018	-	1833	1004	848	1113	1374	576	632	1359	853	1133	1456
YDL152W	IV	182822	183187	+	366	0	0	0	0	0	0	0	0	0	1
YDL151C	IV	183318	183899	-	582	6	0	3	4	1	2	13	3	5	7
YDL150W	IV	183343	184611	+	1269	343	238	307	353	216	170	499	309	336	560
YDL149W	IV	184925	187918	+	2994	585	507	446	646	384	269	322	286	466	250
YDL148C	IV	188154	190586	-	2433	687	515	527	963	288	322	969	514	730	1068
YDL147W	IV	190924	192261	+	1338	3243	2569	2719	3904	2032	1201	1849	1811	2429	1807
YDL146W	IV	192750	194225	+	1476	614	581	452	684	375	351	550	472	773	478
YDL145C	IV	194571	198176	-	3606	4511	3906	4072	5315	2705	2535	3266	2738	3971	3188
YDL144C	IV	198662	199732	-	1071	1415	1115	1051	1360	1013	634	630	538	896	618
YDL143W	IV	199996	201582	+	1587	3197	2881	3064	3307	2235	2213	3085	2341	3562	3125
YDL142C	IV	201719	202570	-	852	564	426	364	698	320	141	283	251	363	251
YDL141W	IV	203039	205111	+	2073	765	586	562	797	452	338	513	387	552	506
YDL140C	IV	205360	210561	-	5202	5343	4873	4057	6069	3464	3757	3815	2917	4614	4083
YDL139C	IV	211375	212046	-	672	328	256	289	357	259	119	214	152	228	189
YDL138W	IV	213351	215642	+	2292	766	699	596	722	536	365	438	350	534	425
YDL137W	IV	216529	217074	+	546	5607	4877	4893	6103	4162	1975	2415	2352	3584	2262
YDL136W	IV;IV	217600;218008	217602;218367	+;+	363	2129	1760	1483	2131	1575	1322	2373	1579	2588	2526
YDL135C	IV	218680	219288	-	609	939	804	839	1120	633	376	565	506	826	490
YDL134C	IV	219662	220771	-	1110	2280	1957	1780	2165	1475	1165	1481	1238	2046	1492
YDL133C-A	IV	221724	221801	-	78	4044	3122	4567	5335	3457	1849	4238	3346	4639	3248
YDL133W	IV	222427	223740	+	1314	974	719	695	1061	681	362	585	454	704	513
YDL132W	IV	224304	226751	+	2448	2435	2096	2058	2761	1619	1051	1362	1237	1836	1322
YDL131W	IV	227393	228715	+	1323	1616	1379	1412	1557	1228	896	898	795	1385	892
YDL130W-A	IV	229171	229431	+	261	778	575	586	890	561	345	334	417	717	280
YDL130W	IV;IV	229906;230321	230019;230527	+;+	321	12243	9418	10469	12094	9925	6407	10831	8605	14203	12361
YDL129W	IV	231024	231899	+	876	128	80	58	106	55	45	103	70	115	93
YDL128W	IV	232652	233887	+	1236	2217	1640	1652	1967	1212	907	1469	1066	1644	1298
YDL127W	IV	234927	235853	+	927	409	256	255	389	260	90	178	144	194	180
YDL126C	IV	236157	238664	-	2508	14129	13845	14402	16194	9510	8553	8177	7286	11984	8097
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	3745	3053	2690	3664	2781	1645	2267	1959	3398	2321
YDL124W	IV	240259	241197	+	939	2679	2438	2487	2952	2161	2449	2356	2795	5164	2020
YDL123W	IV	241418	241840	+	423	630	522	513	643	397	306	398	318	499	369
YDL122W	IV	242552	244981	+	2430	1672	1312	1596	1851	949	781	1435	1018	1428	1396
YDL121C	IV	245133	245582	-	450	913	687	730	968	633	251	520	315	560	552
YDL120W	IV	245923	246447	+	525	699	537	492	796	549	377	555	438	639	514
YDL119C	IV	246689	247612	-	924	463	307	264	488	260	114	197	177	247	181
YDL118W	IV	247302	247682	+	381	21	12	18	22	7	4	6	9	9	5
YDL117W	IV	248581	251238	+	2658	1030	756	709	1026	549	293	622	435	597	606
YDL116W	IV	251566	253746	+	2181	787	653	669	937	489	322	618	459	644	592
YDL115C	IV;IV	253995;255045	254974;255126	-;-	1062	836	597	651	974	546	238	425	421	577	383
YDL114W-A	IV	254935	255048	+	114	8	4	5	6	4	3	4	4	6	2
YDL114W	IV	255604	256530	+	927	12	4	5	14	3	5	5	4	6	4
YDL113C	IV	256633	258555	-	1923	1056	749	820	1160	533	335	565	504	715	424
YDL112W	IV	258915	263225	+	4311	750	685	670	881	505	371	967	571	766	997
YDL111C	IV	263313	264110	-	798	612	551	477	669	462	310	643	420	605	613
YDL110C	IV	264512	264964	-	453	3275	2625	2179	3323	1903	1648	1397	1715	2578	1269
YDL109C	IV	265258	267201	-	1944	251	199	209	241	144	130	165	112	217	148
YDL108W	IV;IV	267698;267807	267725;268699	+;+	921	458	303	316	421	293	221	369	286	428	339
YDL107W	IV	268921	269976	+	1056	371	226	263	366	200	113	212	225	290	176
YDL106C	IV	270222	271901	-	1680	979	744	724	1049	612	407	535	516	778	536
YDL105W	IV	272389	273597	+	1209	204	125	160	232	124	73	107	78	109	94
YDL104C	IV	273653	274876	-	1224	227	155	183	226	148	94	174	128	175	128
YDL103C	IV	275148	276581	-	1434	1004	837	951	1197	643	430	556	470	706	509
YDL102W	IV	276872	280165	+	3294	521	390	414	598	301	268	422	276	403	380
YDL101C	IV	280307	281848	-	1542	348	308	267	383	185	159	200	205	247	221
YDL100C	IV	282112	283176	-	1065	4204	3922	3767	4347	2939	2108	2372	1994	3332	2509
YDL099W	IV	283419	284444	+	1026	1672	1222	1376	2056	1052	566	1044	909	1262	930
YDL098C	IV	284581	285165	-	585	244	160	147	235	137	60	123	108	161	127
YDL097C	IV	285391	286695	-	1305	4647	4020	3479	4647	3164	2336	2866	2721	3890	2965
YDL096C	IV	286998	287324	-	327	2	1	5	0	0	0	3	0	1	1
YDL095W	IV	287059	289512	+	2454	2946	2915	2713	3498	1929	1472	1894	1541	2462	1868
YDL094C	IV	289572	290081	-	510	42	21	18	61	23	3	28	28	24	22
YDL093W	IV	289909	292140	+	2232	692	535	495	708	382	256	461	304	485	456
YDL092W	IV	292781	293221	+	441	963	702	844	1104	626	415	696	588	771	610
YDL091C	IV	293392	294759	-	1368	677	475	525	742	419	238	332	312	546	321
YDL090C	IV	295034	296329	-	1296	633	538	487	670	415	223	345	268	337	272
YDL089W	IV	296820	298274	+	1455	543	361	400	535	339	168	325	302	446	295
YDL088C	IV	298417	300003	-	1587	1097	812	670	1079	676	405	788	585	829	758
YDL087C	IV	300214	300999	-	786	430	347	329	403	308	167	300	207	315	248
YDL086W	IV	301413	302234	+	822	883	737	704	831	648	451	500	410	627	515
YDL086C-A	IV	301655	302089	-	435	0	0	0	0	0	0	0	0	0	0
YDL085C-A	IV	302464	302670	-	207	479	339	517	537	315	148	262	245	296	269
YDL085W	IV	303211	304848	+	1638	231	202	172	230	118	49	40	63	108	42
YDL084W	IV	305237	306577	+	1341	5631	4714	4675	6316	3562	2735	4085	3254	4991	4267
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	8454	7755	7222	9017	6576	5697	9569	6970	11640	10247
YDL082W	IV;IV	308424;308793	308427;309388	+;+	600	6810	5025	5431	6414	4631	3420	6949	5018	7720	7034
YDL081C	IV	309802	310122	-	321	10926	8683	10548	12376	7320	5021	10245	8022	11685	10337
YDL080C	IV	310642	312471	-	1830	712	513	538	704	423	375	595	409	584	511
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	1126	699	571	1044	539	623	639	987	1094	503
YDL078C	IV	315357	316388	-	1032	3225	2567	2467	3129	1981	1510	1791	1759	2660	1729
YDL077C	IV	316971	320120	-	3150	589	469	506	667	406	263	430	320	507	375
YDL076C	IV	320668	321552	-	885	943	711	662	1027	612	340	571	502	656	495
YDL075W	IV;IV	322226;322704	322282;322988	+;+	342	12010	9029	9554	11377	7946	6426	10640	8059	12610	10575
snR63	IV	323217	323471	-	255	134	71	73	98	84	56	128	97	123	115
YDL074C	IV	324047	326149	-	2103	1365	963	1069	1551	783	368	1024	764	943	1018
YDL073W	IV	326613	329567	+	2955	862	594	763	954	507	307	602	451	598	539
YDL072C	IV	329836	330447	-	612	4144	3224	2952	4098	2712	1559	1960	2145	3608	1721
YDL071C	IV	330666	331040	-	375	42	29	23	35	27	23	29	11	25	28
YDL070W	IV	331024	332940	+	1917	2006	1156	1409	1882	974	852	1900	1673	2037	1719
YDL069C	IV	333121	333810	-	690	141	57	111	112	79	39	99	100	118	86
YDL068W	IV	333500	333829	+	330	5	0	3	1	2	1	6	1	2	3
YDL067C	IV	334217	334396	-	180	944	638	593	864	582	239	427	439	629	413
YDL066W	IV	334835	336121	+	1287	2130	2162	2091	2366	1488	1327	1115	1087	1796	1068
YDL065C	IV	336249	337277	-	1029	904	705	766	1021	583	307	661	501	678	575
YDL064W	IV;IV	337487;337635	337524;338070	+;+	474	642	484	485	670	438	261	489	479	583	506
YDL063C	IV	338272	340134	-	1863	111	101	102	140	63	84	302	117	170	317
YDL062W	IV	339857	340282	+	426	4	2	2	2	0	0	7	4	1	4
YDL061C	IV	340628	340798	-	171	4825	3499	3093	4228	4039	2536	5019	3737	6188	5422
YDL060W	IV	341619	343985	+	2367	470	499	540	621	306	434	1076	518	735	1158
YDL059C	IV	344237	344953	-	717	325	298	248	386	229	122	144	132	196	144
YDL058W	IV	345665	351037	+	5373	1290	1111	1571	1961	805	470	820	606	891	781
YDL057W	IV	351434	352420	+	987	350	306	241	335	257	136	125	142	258	123
YDL056W	IV	352877	355378	+	2502	843	594	598	820	496	268	525	336	502	446
YDL055C	IV	355674	356759	-	1086	14230	13847	12721	14908	10218	10461	12540	10720	17416	13776
tK(UUU)D	IV;IV	359577;359637	359613;359672	+;+	73	2	0	1	1	0	1	1	0	2	1
YDL054C	IV	359825	361285	-	1461	826	749	690	892	598	427	364	336	655	362
YDL053C	IV	361699	362256	-	558	994	625	604	921	552	402	602	519	726	562
YDL052C	IV	362672	363583	-	912	1698	1283	1214	1655	1181	955	1516	1302	1835	1584
YDL051W	IV	363952	364779	+	828	700	555	569	751	396	391	808	547	818	923
YDL050C	IV	364446	364817	-	372	47	46	44	63	37	21	44	33	48	59
YDL049C	IV	365068	365874	-	807	460	312	249	453	213	208	344	246	295	375
YDL048C	IV	366739	368211	-	1473	1206	937	878	1194	756	1223	1745	1175	2518	1942
YDL047W	IV	369771	370706	+	936	1489	1098	1098	1425	911	587	1063	759	1171	988
YDL046W	IV	371240	371761	+	522	3937	2793	2471	3582	2601	1510	2072	2071	2882	1895
YDL045W-A	IV	372248	372535	+	288	577	351	340	555	373	233	419	356	559	388
YDL045C	IV	372688	373608	-	921	846	728	650	918	569	366	448	409	699	411
YDL044C	IV	373967	375289	-	1323	249	184	186	258	175	88	125	139	168	150
YDL043C	IV	375680	376480	-	801	252	160	195	262	154	124	243	199	255	249
YDL042C	IV	376757	378445	-	1689	387	221	202	351	168	140	272	224	277	308
YDL041W	IV	378102	378455	+	354	2	0	1	2	1	0	0	0	1	0
YDL040C	IV	378874	381438	-	2565	1896	1628	1889	2365	1211	748	1408	1067	1604	1417
YDL039C	IV	381985	384081	-	2097	413	398	316	347	302	1181	3018	1645	2415	3436
YDL037C	IV	384601	385587	-	987	35	39	19	23	16	149	386	119	205	409
YDL036C	IV	387513	388901	-	1389	364	309	287	316	219	115	303	183	276	274
YDL035C	IV	389172	392057	-	2886	1653	1285	1239	1752	930	473	751	550	926	649
YDL034W	IV	391783	392127	+	345	9	8	7	9	3	6	4	5	7	9
YDL033C	IV	392659	393912	-	1254	153	136	129	178	102	104	186	149	266	178
YDL032W	IV	393690	394001	+	312	0	0	0	0	1	0	1	0	0	0
YDL031W	IV	394217	397204	+	2988	756	505	577	764	353	365	1078	539	804	1146
YDL030W	IV	397537	399129	+	1593	528	347	327	459	277	146	379	239	292	336
YDL029W	IV;IV	399340;399485	399361;400638	+;+	1176	4562	3895	3727	4734	3110	2187	2447	2363	3597	2432
YDL028C	IV	400997	403291	-	2295	563	425	423	596	298	213	376	288	391	386
YDL027C	IV	403695	404957	-	1263	902	532	576	808	474	266	478	479	622	380
YDL026W	IV	404749	405060	+	312	0	1	2	2	0	0	0	2	2	1
YDL025C	IV	405344	407206	-	1863	1080	882	771	1081	665	629	596	578	1093	607
YDL025W-A	IV	405410	405514	+	105	0	0	0	0	0	0	0	0	0	0
YDL024C	IV	408451	409857	-	1407	134	105	97	120	61	22	24	29	63	30
YDL022C-A	IV	409808	410056	-	249	2	2	0	0	1	0	1	0	0	0
tA(AGC)D	IV	410379	410451	+	73	0	0	0	0	0	0	0	0	0	1
YDL023C	IV	411761	412081	-	321	6	2	1	6	1	4	6	7	6	5
YDL022W	IV	411825	413000	+	1176	2752	2677	2880	2701	2346	3845	4002	3732	6779	3473
YDL021W	IV	413953	414888	+	936	362	263	267	349	210	103	104	152	202	82
YDL020C	IV	415113	416708	-	1596	1837	1135	1010	1798	867	620	1242	926	1239	1087
YDL019C	IV	417663	421514	-	3852	2059	1909	2108	2567	1451	1362	1340	1207	2094	1230
YDL018C	IV	422833	423510	-	678	550	422	400	566	367	144	221	242	344	172
YDL017W	IV	424209	425732	+	1524	451	291	268	449	222	128	222	184	254	220
YDL016C	IV	425570	425872	-	303	279	215	167	282	200	104	197	136	230	208
YDL015C	IV	426002	426934	-	933	2195	1570	1596	2293	1318	875	1733	1377	2056	1632
YDL014W	IV	427364	428347	+	984	5551	4656	5025	6090	3635	4283	7341	4428	6514	8429
YDL013W	IV	429067	430926	+	1860	975	839	813	1055	617	376	624	456	673	609
YDL012C	IV;IV	431108;431473	431386;431517	-;-	324	817	732	584	873	650	432	590	400	761	564
YDL011C	IV	432308	432631	-	324	0	1	1	1	0	0	1	0	0	0
YDL010W	IV	432330	433025	+	696	428	288	372	461	236	106	167	172	231	153
YDL009C	IV	432925	433248	-	324	296	164	234	383	153	59	97	95	131	86
YDL008W	IV	433497	433994	+	498	460	392	364	482	372	282	325	262	434	327
tT(AGU)D	IV	434264	434336	-	73	3	0	0	0	0	0	0	0	0	0
YDL007C-A	IV	436567	436824	-	258	0	0	0	0	0	1	0	0	0	0
tS(AGA)D1	IV	437772	437853	+	82	0	0	0	0	0	0	1	0	0	0
YDL007W	IV	438047	439360	+	1314	5066	3888	4414	5376	3387	1941	2940	2721	3871	2674
YDL006W	IV	439909	440754	+	846	584	450	501	605	338	243	366	324	424	364
YDL005C	IV	441014	442309	-	1296	1376	955	992	1497	693	509	847	659	926	788
YDL004W	IV	443029	443511	+	483	1904	1528	1305	1947	1171	629	876	917	1265	782
YDL003W	IV	444683	446383	+	1701	634	505	579	726	489	212	225	226	329	279
YDL002C	IV	446967	447578	-	612	672	390	527	711	326	176	354	306	390	346
YDL001W	IV	447984	449276	+	1293	406	293	317	439	245	105	248	164	247	228
YDR001C	IV	450220	452475	-	2256	2762	2299	2345	3049	1756	1829	1885	2041	3097	1699
YDR002W	IV	453045	453650	+	606	5779	4646	5189	6047	3739	2539	4027	3242	4703	4176
YDR003W	IV	454122	454754	+	633	1137	803	702	1085	726	302	527	525	760	525
YDR003W-A	IV	454782	454904	+	123	331	229	244	325	199	62	137	131	214	111
YDR004W	IV	455201	456583	+	1383	623	491	419	628	383	178	357	304	394	339
YDR005C	IV;IV	456836;458098	458017;458103	-;-	1188	848	518	597	806	426	326	639	633	748	506
YDR006C	IV	458542	461247	-	2706	1422	1154	974	1536	920	518	931	619	1029	911
